index	sentence	predication	main verb	functionality category	"score for the predication(1 absolutely disagree, 2 disagree, 3 agree, 4 absolutely agree)"	"if you disagree with the predication, which category do you think it should belong to? (just write the main verb)"
0	Set the fSideBySide field for the PAP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
1	Updates the rawdata from the modified paragraph/character styles	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
2	Moves to the next record in the stream.	54	move	move/scroll/offset/advance	4	
3	Array of positions of itbdMac tab stops.	10	unknown	not a function	4	
4	Set the page numbering start.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
5	Check if index is in table	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
6	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
7	"Returns the CellStyle that applies to the given  (0 based) column	 or null if no style has been  set for that column"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
8	Sets the fCol field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
9	Set whether the text should be wrapped	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
10	Returns the number of physically defined rows (NOT the number of rows in the sheet)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
11	Set the sheet name.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
12	return the non static version of the id for this record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
13	Size of record (exluding 4 byte header)	10	unknown	not a function	4	
14	"Returns the pending painting object for the given component	 if any."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
15	auto space East Asian and numeric characters.	10	unknown	not a function	4	
16	"sprmSNfcFtnRef	 [MS-DOC]	 v20140721"	10	unknown	not a function	4	
17	"Range internal border color	 such as table styles"	10	unknown	not a function	4	
18	get the number of merged areas.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
19	Removes all properties from the section including 0 (dictionary) and 1 (codepage).	48	clear	clear/clean/remove/empty	4	
20	Draw this shape into the supplied canvas	9	draw	draw/render/paint/redraw/repaint	4	
21	Sets the fShadeFormData field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
22	Specify the column that contains the comment	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
23	Get the dyaHdrTop field for the SEP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
24	This value is undefined and MUST be ignored.	10	unknown	not a function	4	
25	Fetch the text runs that are contained within this block of text	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
26	Tries to identify the correct encoding for 7-bit (non-unicode)  strings in the file.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
27	Removes a merged region of cells (hence letting them free)	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
28	for cell XF types this is the parent style (usually 0/normal).	10	unknown	not a function	4	
29	return the non static version of the id for this record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
30	Update the formulas in specified row using the formula shifting policy specified by shifter	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
31	Get the address of the cell that this comment is attached to	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
32	Creates a new DataFormat instance	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
33	get the alignment options bitmask.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
34	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
35	ending column (last cell this holds in the row)	15	stop	stop/quit/terminate/interrupt/end/crash/intercept/abort/disconnect/shutdown/pause/finalize/freeze/block	1	 not a function
36	"When 1	 absolutely positioned paragraph cannot overlap with another paragraph."	10	unknown	not a function	4	
37	No line numbering.	10	unknown	not a function	4	
38	Runs the example program.	14	perform	perform/execute/run/call/invoke/enforce/fire/trigger/indicate/occur	4	
39	set the calculated value of the formula	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
40	get the additional fill pattern	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
