index	qualified name	raw API description	final sentence pattern	final revised API description	is consensus	raw verb	final revised verb	revised functionality category	is functionality description	new verb by annotator1	new verb by annotator2	revised API description by annotator1	revised API description by annotator2
0	"""java.lang.Integer.parseInt(java.lang.String,int)"""	Parses the string argument as a signed integer in the radix specified by the second argument.	VERB - NOUN - as - NOUN - in - NOUN - by - NOUN	convert the string argument into a signed integer in the radix specified by the second argument.	1	parse	convert	40	0	convert	convert	convert the string argument into a signed integer in the radix specified by the second argument.	convert the string argument to a signed integer in the radix specified by the second argument.
1	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a string to the specified format string and arguments.
2	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
3	java.lang.Class.forName(java.lang.String)	Returns the Class object associated with the class or interface with the given string name.	VERB - NOUN - with - NOUN	creates the Class object associated with the class or interface with the given string name.	0	return	create	9	0	get	create	get the Class object associated with the class or interface with the given string name.	creates the Class object associated with the class or interface with the given string name.
4	java.util.Iterator.remove()	Removes from the underlying collection the last element returned by this iterator (optional operation).	VERB - from - NOUN	Removes from the underlying collection the last element returned by this iterator (optional operation).	0	remove	remove	38	0	remove	remove	Removes from the underlying collection the last element returned by this iterator (optional operation).	Removes from the underlying collection the last element returned by this iterator (optional operation).
5	java.util.Collections.shuffle(java.util.List<?>)	Randomly permutes the specified list using a default source of randomness.	VERB - NOUN	Randomly permutes the specified list using a default source of randomness.	0	permute	permute	69	0	permute	permute	Randomly permutes the specified list using a default source of randomness.	Randomly permutes the specified list using a default source of randomness.
6	"""java.lang.String.format(java.lang.String,java.lang.Object...)"""	Returns a formatted string using the specified format string and arguments.	VERB - NOUN	format a string using the specified format string and arguments.	1	return	format	20	0	convert	format	converts a string into a formatted string using the specified format string and arguments.	formats a string to the specified format string and arguments.
7	java.lang.Process.getInputStream()	Returns the input stream connected to the normal output of the subprocess.	VERB - NOUN - to - NOUN	get the input stream connected to the normal output of the subprocess.	0	return	get	9	0	get	get	get the input stream connected to the normal output of the subprocess.	Gets the input stream connected to the normal output of the subprocess.
8	"""java.util.Calendar.add(int,int)"""	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""	VERB - NOUN - to - NOUN	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""	0	add	compute	31	0	compute	add	"""compute by adding or subtracting the specified amount of time to the given calendar field, based on the calendar's rules."""	"""Adds or subtracts the specified amount of time to the given calendar field, based on the calendar's rules."""
9	java.util.Collections.synchronizedList(java.util.List<T>)	Returns a synchronized (thread-safe) list backed by the specified list.	VERB - NOUN	get a synchronized (thread-safe) list backed by the specified list.	0	return	get	9	0	get	get	get a synchronized (thread-safe) list backed by the specified list.	gets a synchronized (thread-safe) list backed by the specified list.
10	"""java.util.stream.Collectors.groupingBy(java.util.function.Function<? super,? extends K>)"""	"""Returns a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""	VERB - NOUN	"""connects a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""	0	return	connect	9	0	connect	connect	"""connect  elements according to a classification function, and returning the results in a Map to return a Collector implementing a """"group by"""" operation on input elements of type T, """	"""connects a Collector implementing a """"group by"""" operation on input elements of type T, grouping elements according to a classification function, and returning the results in a Map."""
11	java.util.regex.Pattern.quote(java.lang.String)	Returns a literal pattern String for the specified String.	VERB - NOUN - for - NOUN	convert a literal pattern String to the specified String.	0	return	convert	9	0	get	convert	get  a literal pattern String for the specified String.	convert a literal pattern String to the specified String.
12	"""java.lang.Integer.parseInt(java.lang.String,int)"""	Parses the string argument as a signed integer in the radix specified by the second argument.	VERB - NOUN - as - NOUN - in - NOUN - by - NOUN	convert the string argument into a signed integer in the radix specified by the second argument.	1	parse	convert	40	0	convert	convert	convert the string argument into a signed integer in the radix specified by the second argument.	converts the string argument to a signed integer in the radix specified by the second argument.
13	java.net.InetAddress.getHostAddress()	Returns the IP address string in textual presentation.	VERB - NOUN - in - NOUN	get the IP address string in textual presentation.	0	return	get	9	0	get	get	get the IP address string in textual presentation.	gets the IP address string in textual presentation.
14	"""java.lang.String.split(java.lang.String,int)"""	Splits this string around matches of the given regular expression.	VERB - NOUN - around - NOUN	Splits this string around matches of the given regular expression.	0	split	split	76	0	split	split	Splits this string around matches of the given regular expression.	Splits this string around matches of the given regular expression.
15	java.lang.String.trim()	"""Returns a string whose value is this string, with any leading and trailing whitespace removed."""	VERB - NOUN	"""remove a string whose value is this string, with any leading and trailing whitespace removed."""	0	return	remove	9	0	get	remove	"""get a string whose value is this string, with any leading and trailing whitespace removed."""	"""removes a string whose value is this string, with any leading and trailing whitespace removed."""
